,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
12,2020-01-21,vo,183.14,183.62,182.8755,182.99,582478.0,1.0,1.9486669141267328,183.47569834450954,175.6433016554905,67.9450905231896,183.98192194344816,51.98460620853339,178.274,175.23616666666666,12.850000381469727,16.41451981148379
12,2020-01-21,vwo,44.77,45.02,44.73,44.97,14543936.0,1.0,0.527957987435073,46.05301023519059,43.846989764809415,56.29040021735409,36.477573427172445,14.133405370598487,44.501333333333335,43.42483333333333,12.850000381469727,16.41451981148379
13,2020-01-22,agg,113.43,113.49,113.39,113.44,3627169.0,2.0,0.18048765709120573,113.49428596476112,112.17671403523887,56.8607721125708,188.56490765541585,25.59935910032351,112.73333333333333,112.65666666666668,12.90999984741211,2.921675474271911
13,2020-01-22,bil,91.51,91.51,91.5,91.51,1156887.0,2.0,0.008302479362512827,91.52847772897833,91.39852227102166,52.964841166912564,93.05555555552219,24.113593820247875,91.47066666666666,91.49050000000001,12.90999984741211,2.921675474271911
13,2020-01-22,gld,146.79,146.81,146.38,146.68,4778186.0,2.0,1.7115406166513196,149.6767690152361,140.41323098476394,62.473296757860545,77.8314600051217,28.65187255418924,142.96066666666667,140.98116666666664,12.90999984741211,2.921675474271911
13,2020-01-22,spy,331.34,332.95,331.17,332.24,48914899.0,2.0,3.856685459385062,332.96638494861816,318.1086150513819,69.08433485997101,153.9030555361044,56.911368618243166,322.91066666666666,316.1363333333333,12.90999984741211,2.921675474271911
13,2020-01-22,vb,168.42,169.62,168.179,169.01,452595.0,2.0,1.392705016974304,169.5295139902442,163.8074860097558,62.23159425392766,145.41014623014888,36.8847450630865,165.8493333333333,163.04933333333332,12.90999984741211,2.921675474271911
13,2020-01-22,vnq,94.98,96.15,94.82,95.85,5024341.0,2.0,0.7844360718821548,95.45331248447542,90.0086875155246,57.807185423012186,195.3111050109161,38.96650000661984,92.216,92.43783333333334,12.90999984741211,2.921675474271911
13,2020-01-22,vo,183.23,184.3,183.061,183.61,660275.0,2.0,1.983807048434926,184.0052730646189,175.5637269353811,68.08651585062532,174.6468885488665,55.468759120996104,178.54966666666667,175.47216666666665,12.90999984741211,2.921675474271911
13,2020-01-22,vwo,45.04,45.225,44.935,45.18,15637611.0,2.0,0.47607738602223293,46.06425207005999,43.869747929940004,57.616775237283306,56.35285030747923,18.29741769551166,44.581,43.47983333333333,12.90999984741211,2.921675474271911
14,2020-01-23,agg,113.58,113.7,113.58,113.64,3429575.0,3.0,0.20832767804257912,113.57861506339168,112.2263849366083,58.123485222661735,203.04232047177538,32.8753775960063,112.76666666666667,112.67266666666667,12.979999542236328,6.084815263960091
14,2020-01-23,bil,91.52,91.53,91.52,91.52,893082.0,3.0,0.01021225741973808,91.5335306944511,91.40446930554891,54.173187987607285,124.99999999997878,35.173993526408125,91.472,91.48966666666666,12.979999542236328,6.084815263960091
